content_length_min,user_tenure_months,is_premium,genre_score,watch_time_min
121.3,29,1,6,116.08
20.0,22,1,3,42.88
43.7,35,1,1,55.05
144.6,60,1,8,139.96
147.2,22,1,8,126.07
48.1,42,1,8,110.48
158.4,27,0,1,65.65
37.8,8,0,2,18.96
114.1,29,1,5,114.02
72.2,48,0,4,22.93
37.3,4,1,1,32.56
106.1,12,1,8,126.32
57.2,29,0,4,47.81
150.8,21,0,7,99.18
123.3,46,1,7,106.0
32.7,4,0,1,20.37
110.1,58,1,4,74.67
140.9,49,0,4,56.83
15.4,49,0,1,2.5
99.7,59,1,7,97.78
18.3,31,1,2,45.44
84.1,28,1,4,79.98
22.0,46,0,9,56.65
10.6,23,0,5,22.07
67.7,52,0,3,40.84
